route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
211,OP1,211,,3,https://muoversiaroma.it/it/linea?numero=211,,
C2,OP1,C2,,3,https://muoversiaroma.it/it/linea?numero=C2,,
62,OP1,62,,3,https://muoversiaroma.it/it/linea?numero=62,,
105,OP1,105,,3,https://muoversiaroma.it/it/linea?numero=105,,
766,OP1,766,,3,https://muoversiaroma.it/it/linea?numero=766,,
773,OP1,773,,3,https://muoversiaroma.it/it/linea?numero=773,,
81,OP1,81,,3,https://muoversiaroma.it/it/linea?numero=81,,
31,OP1,31,,3,https://muoversiaroma.it/it/linea?numero=31,,
38,OP1,38,,3,https://muoversiaroma.it/it/linea?numero=38,,
05,OP1,05,,3,https://muoversiaroma.it/it/linea?numero=05,,
542,OP1,542,,3,https://muoversiaroma.it/it/linea?numero=542,,
551,OP1,551,,3,https://muoversiaroma.it/it/linea?numero=551,,
590,OP1,590,,3,https://muoversiaroma.it/it/linea?numero=590,,
69,OP1,69,,3,https://muoversiaroma.it/it/linea?numero=69,,
700,OP1,700,,3,https://muoversiaroma.it/it/linea?numero=700,,
014,OP1,014,,3,https://muoversiaroma.it/it/linea?numero=014,,
058F,OP1,058F,,3,https://muoversiaroma.it/it/linea?numero=058F,,
310,OP1,310,,3,https://muoversiaroma.it/it/linea?numero=310,,
791,OP1,791,,3,https://muoversiaroma.it/it/linea?numero=791,,
303,OP1,303,,3,https://muoversiaroma.it/it/linea?numero=303,,
490,OP1,490,,3,https://muoversiaroma.it/it/linea?numero=490,,
90,OP1,90,,3,https://muoversiaroma.it/it/linea?numero=90,,
905,OP1,905,,3,https://muoversiaroma.it/it/linea?numero=905,,
115,OP1,115,,3,https://muoversiaroma.it/it/linea?numero=115,,
765,OP1,765,,3,https://muoversiaroma.it/it/linea?numero=765,,
559,OP1,559,,3,https://muoversiaroma.it/it/linea?numero=559,,
20,OP1,20,,3,https://muoversiaroma.it/it/linea?numero=20,,
046,OP1,046,,3,https://muoversiaroma.it/it/linea?numero=046,,
500,OP1,500,,3,https://muoversiaroma.it/it/linea?numero=500,,
117,OP1,117,,3,https://muoversiaroma.it/it/linea?numero=117,,
360,OP1,360,,3,https://muoversiaroma.it/it/linea?numero=360,,
772,OP1,772,,3,https://muoversiaroma.it/it/linea?numero=772,,
071,OP1,071,,3,https://muoversiaroma.it/it/linea?numero=071,,
04B,OP1,04B,,3,https://muoversiaroma.it/it/linea?numero=04B,,
507,OP1,507,,3,https://muoversiaroma.it/it/linea?numero=507,,
201,OP1,201,,3,https://muoversiaroma.it/it/linea?numero=201,,
338,OP1,338,,3,https://muoversiaroma.it/it/linea?numero=338,,
705,OP1,705,,3,https://muoversiaroma.it/it/linea?numero=705,,
556,OP1,556,,3,https://muoversiaroma.it/it/linea?numero=556,,
64,OP1,64,,3,https://muoversiaroma.it/it/linea?numero=64,,
52,OP1,52,,3,https://muoversiaroma.it/it/linea?numero=52,,
247,OP1,247,,3,https://muoversiaroma.it/it/linea?numero=247,,
14,OP1,14,,0,https://muoversiaroma.it/it/linea?numero=14,,
93,OP1,93,,3,https://muoversiaroma.it/it/linea?numero=93,,
448,OP1,448,,3,https://muoversiaroma.it/it/linea?numero=448,,
05B,OP1,05B,,3,https://muoversiaroma.it/it/linea?numero=05B,,
309,OP1,309,,3,https://muoversiaroma.it/it/linea?numero=309,,
211F,OP1,211F,,3,https://muoversiaroma.it/it/linea?numero=211F,,
990,OP1,990,,3,https://muoversiaroma.it/it/linea?numero=990,,
063,OP1,063,,3,https://muoversiaroma.it/it/linea?numero=063,,
C9,OP1,C9,,3,https://muoversiaroma.it/it/linea?numero=C9,,
762,OP1,762,,3,https://muoversiaroma.it/it/linea?numero=762,,
C3,OP1,C3,,3,https://muoversiaroma.it/it/linea?numero=C3,,
670,OP1,670,,3,https://muoversiaroma.it/it/linea?numero=670,,
504,OP1,504,,3,https://muoversiaroma.it/it/linea?numero=504,,
246,OP1,246,,3,https://muoversiaroma.it/it/linea?numero=246,,
870,OP1,870,,3,https://muoversiaroma.it/it/linea?numero=870,,
311,OP1,311,,3,https://muoversiaroma.it/it/linea?numero=311,,
021,OP1,021,,3,https://muoversiaroma.it/it/linea?numero=021,,
75,OP1,75,,3,https://muoversiaroma.it/it/linea?numero=75,,
88,OP1,88,,3,https://muoversiaroma.it/it/linea?numero=88,,
446,OP1,446,,3,https://muoversiaroma.it/it/linea?numero=446,,
916,OP1,916,,3,https://muoversiaroma.it/it/linea?numero=916,,
C7,OP1,C7,,3,https://muoversiaroma.it/it/linea?numero=C7,,
3NAV,OP1,3NAV,,3,https://muoversiaroma.it/it/linea?numero=3NAV,,
509,OP1,509,,3,https://muoversiaroma.it/it/linea?numero=509,,
781,OP1,781,,3,https://muoversiaroma.it/it/linea?numero=781,,
451,OP1,451,,3,https://muoversiaroma.it/it/linea?numero=451,,
60,OP1,60,,3,https://muoversiaroma.it/it/linea?numero=60,,
160,OP1,160,,3,https://muoversiaroma.it/it/linea?numero=160,,
911,OP1,911,,3,https://muoversiaroma.it/it/linea?numero=911,,
774,OP1,774,,3,https://muoversiaroma.it/it/linea?numero=774,,
709,OP1,709,,3,https://muoversiaroma.it/it/linea?numero=709,,
118,OP1,118,,3,https://muoversiaroma.it/it/linea?numero=118,,
065,OP1,065,,3,https://muoversiaroma.it/it/linea?numero=065,,
508,OP1,508,,3,https://muoversiaroma.it/it/linea?numero=508,,
628,OP1,628,,3,https://muoversiaroma.it/it/linea?numero=628,,
786,OP1,786,,3,https://muoversiaroma.it/it/linea?numero=786,,
012,OP1,012,,3,https://muoversiaroma.it/it/linea?numero=012,,
228,OP1,228,,3,https://muoversiaroma.it/it/linea?numero=228,,
111,OP1,111,,3,https://muoversiaroma.it/it/linea?numero=111,,
786F,OP1,786F,,3,https://muoversiaroma.it/it/linea?numero=786F,,
545,OP1,545,,3,https://muoversiaroma.it/it/linea?numero=545,,
168,OP1,168,,3,https://muoversiaroma.it/it/linea?numero=168,,
86,OP1,86,,3,https://muoversiaroma.it/it/linea?numero=86,,
906,OP1,906,,3,https://muoversiaroma.it/it/linea?numero=906,,
412,OP1,412,,3,https://muoversiaroma.it/it/linea?numero=412,,
223,OP1,223,,3,https://muoversiaroma.it/it/linea?numero=223,,
910,OP1,910,,3,https://muoversiaroma.it/it/linea?numero=910,,
716,OP1,716,,3,https://muoversiaroma.it/it/linea?numero=716,,
32,OP1,32,,3,https://muoversiaroma.it/it/linea?numero=32,,
558,OP1,558,,3,https://muoversiaroma.it/it/linea?numero=558,,
089,OP1,089,,3,https://muoversiaroma.it/it/linea?numero=089,,
654,OP1,654,,3,https://muoversiaroma.it/it/linea?numero=654,,
20L,OP1,20L,,3,https://muoversiaroma.it/it/linea?numero=20L,,
280,OP1,280,,3,https://muoversiaroma.it/it/linea?numero=280,,
61,OP1,61,,3,https://muoversiaroma.it/it/linea?numero=61,,
708,OP1,708,,3,https://muoversiaroma.it/it/linea?numero=708,,
40,OP1,40,,3,https://muoversiaroma.it/it/linea?numero=40,,
719,OP1,719,,3,https://muoversiaroma.it/it/linea?numero=719,,
715,OP1,715,,3,https://muoversiaroma.it/it/linea?numero=715,,
779,OP1,779,,3,https://muoversiaroma.it/it/linea?numero=779,,
070,OP1,070,,3,https://muoversiaroma.it/it/linea?numero=070,,
714,OP1,714,,3,https://muoversiaroma.it/it/linea?numero=714,,
871,OP1,871,,3,https://muoversiaroma.it/it/linea?numero=871,,
443,OP1,443,,3,https://muoversiaroma.it/it/linea?numero=443,,
C11,OP1,C11,,3,https://muoversiaroma.it/it/linea?numero=C11,,
128,OP1,128,,3,https://muoversiaroma.it/it/linea?numero=128,,
H,OP1,H,,3,https://muoversiaroma.it/it/linea?numero=H,,
3L,OP1,3L,,3,https://muoversiaroma.it/it/linea?numero=3L,,
916F,OP1,916F,,3,https://muoversiaroma.it/it/linea?numero=916F,,
649,OP1,649,,3,https://muoversiaroma.it/it/linea?numero=649,,
671,OP1,671,,3,https://muoversiaroma.it/it/linea?numero=671,,
119,OP1,119,,3,https://muoversiaroma.it/it/linea?numero=119,,
775,OP1,775,,3,https://muoversiaroma.it/it/linea?numero=775,,
C5,OP1,C5,,3,https://muoversiaroma.it/it/linea?numero=C5,,
904,OP1,904,,3,https://muoversiaroma.it/it/linea?numero=904,,
337,OP1,337,,3,https://muoversiaroma.it/it/linea?numero=337,,
664,OP1,664,,3,https://muoversiaroma.it/it/linea?numero=664,,
53,OP1,53,,3,https://muoversiaroma.it/it/linea?numero=53,,
230,OP1,230,,3,https://muoversiaroma.it/it/linea?numero=230,,
980,OP1,980,,3,https://muoversiaroma.it/it/linea?numero=980,,
052,OP1,052,,3,https://muoversiaroma.it/it/linea?numero=052,,
706,OP1,706,,3,https://muoversiaroma.it/it/linea?numero=706,,
769,OP1,769,,3,https://muoversiaroma.it/it/linea?numero=769,,
780,OP1,780,,3,https://muoversiaroma.it/it/linea?numero=780,,
301,OP1,301,,3,https://muoversiaroma.it/it/linea?numero=301,,
170,OP1,170,,3,https://muoversiaroma.it/it/linea?numero=170,,
106,OP1,106,,3,https://muoversiaroma.it/it/linea?numero=106,,
04,OP1,04,,3,https://muoversiaroma.it/it/linea?numero=04,,
058,OP1,058,,3,https://muoversiaroma.it/it/linea?numero=058,,
06,OP1,06,,3,https://muoversiaroma.it/it/linea?numero=06,,
07,OP1,07,,3,https://muoversiaroma.it/it/linea?numero=07,,
16,OP1,16,,3,https://muoversiaroma.it/it/linea?numero=16,,
163,OP1,163,,3,https://muoversiaroma.it/it/linea?numero=163,,
2,OP1,2,,0,https://muoversiaroma.it/it/linea?numero=2,,
200,OP1,200,,3,https://muoversiaroma.it/it/linea?numero=200,,
23,OP1,23,,3,https://muoversiaroma.it/it/linea?numero=23,,
3,OP1,3,,0,https://muoversiaroma.it/it/linea?numero=3,,
30,OP1,30,,3,https://muoversiaroma.it/it/linea?numero=30,,
34,OP1,34,,3,https://muoversiaroma.it/it/linea?numero=34,,
44,OP1,44,,3,https://muoversiaroma.it/it/linea?numero=44,,
450,OP1,450,,3,https://muoversiaroma.it/it/linea?numero=450,,
46,OP1,46,,3,https://muoversiaroma.it/it/linea?numero=46,,
46B,OP1,46B,,3,https://muoversiaroma.it/it/linea?numero=46B,,
49,OP1,49,,3,https://muoversiaroma.it/it/linea?numero=49,,
492,OP1,492,,3,https://muoversiaroma.it/it/linea?numero=492,,
495,OP1,495,,3,https://muoversiaroma.it/it/linea?numero=495,,
5,OP1,5,,0,https://muoversiaroma.it/it/linea?numero=5,,
506,OP1,506,,3,https://muoversiaroma.it/it/linea?numero=506,,
63,OP1,63,,3,https://muoversiaroma.it/it/linea?numero=63,,
70,OP1,70,,3,https://muoversiaroma.it/it/linea?numero=70,,
71,OP1,71,,3,https://muoversiaroma.it/it/linea?numero=71,,
8,OP1,8,,0,https://muoversiaroma.it/it/linea?numero=8,,
80,OP1,80,,3,https://muoversiaroma.it/it/linea?numero=80,,
85,OP1,85,,3,https://muoversiaroma.it/it/linea?numero=85,,
87,OP1,87,,3,https://muoversiaroma.it/it/linea?numero=87,,
913,OP1,913,,3,https://muoversiaroma.it/it/linea?numero=913,,
92,OP1,92,,3,https://muoversiaroma.it/it/linea?numero=92,,
98,OP1,98,,3,https://muoversiaroma.it/it/linea?numero=98,,
981,OP1,981,,3,https://muoversiaroma.it/it/linea?numero=981,,
C13,OP1,C13,,3,https://muoversiaroma.it/it/linea?numero=C13,,
C4,OP1,C4,,3,https://muoversiaroma.it/it/linea?numero=C4,,
01,OP1,01,,3,https://muoversiaroma.it/it/linea?numero=01,,
016,OP1,016,,3,https://muoversiaroma.it/it/linea?numero=016,,
016F,OP1,016F,,3,https://muoversiaroma.it/it/linea?numero=016F,,
029,OP1,029,,3,https://muoversiaroma.it/it/linea?numero=029,,
03,OP1,03,,3,https://muoversiaroma.it/it/linea?numero=03,,
09,OP1,09,,3,https://muoversiaroma.it/it/linea?numero=09,,
19NAV,OP1,19NAV,,3,https://muoversiaroma.it/it/linea?numero=19NAV,,
33,OP1,33,,3,https://muoversiaroma.it/it/linea?numero=33,,
334,OP1,334,,3,https://muoversiaroma.it/it/linea?numero=334,,
341,OP1,341,,3,https://muoversiaroma.it/it/linea?numero=341,,
409,OP1,409,,3,https://muoversiaroma.it/it/linea?numero=409,,
A01,OP1,A01,,3,https://muoversiaroma.it/it/linea?numero=A01,,
A05,OP1,A05,,3,https://muoversiaroma.it/it/linea?numero=A05,,
A06,OP1,A06,,3,https://muoversiaroma.it/it/linea?numero=A06,,
A07,OP1,A07,,3,https://muoversiaroma.it/it/linea?numero=A07,,
A10,OP1,A10,,3,https://muoversiaroma.it/it/linea?numero=A10,,
A50,OP1,A50,,3,https://muoversiaroma.it/it/linea?numero=A50,,
A60,OP1,A60,,3,https://muoversiaroma.it/it/linea?numero=A60,,
A70,OP1,A70,,3,https://muoversiaroma.it/it/linea?numero=A70,,
C01,OP1,C01,,3,https://muoversiaroma.it/it/linea?numero=C01,,
C02,OP1,C02,,3,https://muoversiaroma.it/it/linea?numero=C02,,
C03,OP1,C03,,3,https://muoversiaroma.it/it/linea?numero=C03,,
C10,OP1,C10,,3,https://muoversiaroma.it/it/linea?numero=C10,,
C20,OP1,C20,,3,https://muoversiaroma.it/it/linea?numero=C20,,
C30,OP1,C30,,3,https://muoversiaroma.it/it/linea?numero=C30,,
G03,OP1,G03,,3,https://muoversiaroma.it/it/linea?numero=G03,,
G04,OP1,G04,,3,https://muoversiaroma.it/it/linea?numero=G04,,
G05,OP1,G05,,3,https://muoversiaroma.it/it/linea?numero=G05,,
