route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
T01,1#5,1#1-2,"TUSCOLANA/ANAGNINA","18365364",0,"",51509,0,0
C11,1#5,1#1-4,"CIMITERO LAURENTINO","18365366",0,"",63032,0,0
C11,1#5,1#1-5,"CINECITTA' (MA)","18365368",1,"",63033,0,0
C11,1#5,1#1-6,"CIMITERO LAURENTINO","18365367",0,"",63032,0,0
C11,1#5,1#1-7,"CINECITTA' (MA)","18365369",1,"",63033,0,0
C11,1#5,1#1-8,"CIMITERO LAURENTINO","18365365",0,"",63032,0,0
C11,1#5,1#1-9,"CINECITTA' (MA)","18365370",1,"",63033,0,0
T10,1#5,1#1-11,"TOR VERGATA/SCHIAVONETTI","18365371",0,"",51510,0,0
T01,1#16,1#2-2,"TUSCOLANA/ANAGNINA","18369542",0,"",51509,0,0
C11,1#16,1#2-4,"CIMITERO LAURENTINO","18369543",0,"",63032,0,0
C11,1#16,1#2-5,"CINECITTA' (MA)","18369546",1,"",63033,0,0
C11,1#16,1#2-6,"CIMITERO LAURENTINO","18369544",0,"",63032,0,0
C11,1#16,1#2-7,"CINECITTA' (MA)","18369547",1,"",63033,0,0
C11,1#16,1#2-8,"CIMITERO LAURENTINO","18369545",0,"",63032,0,0
C11,1#16,1#2-9,"CINECITTA' (MA)","18369548",1,"",63033,0,0
T10,1#16,1#2-11,"TOR VERGATA/SCHIAVONETTI","18369549",0,"",51510,0,0
T01,1#16,1#3-2,"TUSCOLANA/ANAGNINA","18369550",0,"",51509,0,0
C11,1#16,1#3-4,"CIMITERO LAURENTINO","18369551",0,"",63032,0,0
C11,1#16,1#3-5,"CINECITTA' (MA)","18369552",1,"",63033,0,0
T10,1#16,1#3-7,"TOR VERGATA/SCHIAVONETTI","18369553",0,"",51510,0,0
T01,1#5,1#4-2,"TUSCOLANA/ANAGNINA","18365372",0,"",51509,0,0
C11,1#5,1#4-4,"CIMITERO LAURENTINO","18365373",0,"",63032,0,0
C11,1#5,1#4-5,"CINECITTA' (MA)","18365374",1,"",63033,0,0
T10,1#5,1#4-7,"TOR VERGATA/SCHIAVONETTI","112",0,"",51510,0,0
C13,1#34,1#5-2,"P.LE STAZIONE DEL LIDO (RL)","25049164",1,"",700597,0,0
C13,1#34,1#5-3,"CIMITERO LAURENTINO","25049165",0,"",65897,0,0
C13,1#34,1#5-4,"P.LE STAZIONE DEL LIDO (RL)","25049168",1,"",65898,0,0
C13,1#34,1#5-5,"CIMITERO LAURENTINO","25049166",0,"",65897,0,0
C13,1#34,1#5-6,"P.LE STAZIONE DEL LIDO (RL)","25049169",1,"",65898,0,0
C13,1#34,1#5-7,"CIMITERO LAURENTINO","25049167",0,"",65897,0,0
C13,1#34,1#5-8,"P.LE STAZIONE DEL LIDO (RL)","25049170",1,"",65898,0,0
C20,1#34,1#5-10,"LENORMANT/ZELIA NUTTAL","25049171",0,"",51477,0,0
P02,1#19,1#6-2,"TERMINI (MA-MB-FS)","18367134",0,"",52894,0,0
C2,1#19,1#6-3,"CIMITERO FLAMINIO","18367142",0,"",65345,0,0
C2,1#19,1#6-4,"TERMINI (MA-MB-FS)","18367138",1,"",65346,0,0
C2,1#19,1#6-5,"CIMITERO FLAMINIO","18367141",0,"",65345,0,0
C2,1#19,1#6-6,"TERMINI (MA-MB-FS)","18367137",1,"",65346,0,0
C2,1#19,1#6-7,"CIMITERO FLAMINIO","18367140",0,"",65345,0,0
C2,1#19,1#6-8,"TERMINI (MA-MB-FS)","18367136",1,"",65346,0,0
C2,1#19,1#6-9,"CIMITERO FLAMINIO","18367139",0,"",65345,0,0
C2,1#19,1#6-10,"TERMINI (MA-MB-FS)","18367135",1,"",65346,0,0
P20,1#19,1#6-11,"PORTONACCIO/TIBURTINA","18367143",0,"",51506,0,0
P02,1#21,1#7-2,"TERMINI (MA-MB-FS)","24141940",0,"",52894,0,0
C2,1#21,1#7-3,"CIMITERO FLAMINIO","24141948",0,"",65345,0,0
C2,1#21,1#7-4,"TERMINI (MA-MB-FS)","24141941",1,"",65346,0,0
C2,1#21,1#7-5,"CIMITERO FLAMINIO","24141945",0,"",65345,0,0
C2,1#21,1#7-6,"TERMINI (MA-MB-FS)","24141942",1,"",65346,0,0
C2,1#21,1#7-7,"CIMITERO FLAMINIO","24141946",0,"",65345,0,0
C2,1#21,1#7-8,"TERMINI (MA-MB-FS)","24141943",1,"",65346,0,0
C2,1#21,1#7-9,"CIMITERO FLAMINIO","24141947",0,"",65345,0,0
C2,1#21,1#7-10,"TERMINI (MA-MB-FS)","24141944",1,"",65346,0,0
P20,1#21,1#7-11,"PORTONACCIO/TIBURTINA","24141949",0,"",51506,0,0
P02,1#21,1#8-2,"TERMINI (MA-MB-FS)","24141950",0,"",52894,0,0
C2,1#21,1#8-3,"CIMITERO FLAMINIO","24141955",0,"",65345,0,0
C2,1#21,1#8-4,"TERMINI (MA-MB-FS)","24141951",1,"",65346,0,0
C2,1#21,1#8-5,"CIMITERO FLAMINIO","24141956",0,"",65345,0,0
C2,1#21,1#8-6,"TERMINI (MA-MB-FS)","24141952",1,"",65346,0,0
C2,1#21,1#8-7,"CIMITERO FLAMINIO","24141957",0,"",65345,0,0
C2,1#21,1#8-8,"TERMINI (MA-MB-FS)","24141953",1,"",65346,0,0
C2,1#21,1#8-9,"CIMITERO FLAMINIO","24141958",0,"",65345,0,0
C2,1#21,1#8-10,"TERMINI (MA-MB-FS)","24141954",1,"",65346,0,0
P20,1#21,1#8-11,"PORTONACCIO/TIBURTINA","24141959",0,"",51506,0,0
P02,1#19,1#9-2,"TERMINI (MA-MB-FS)","18367153",0,"",52894,0,0
C2,1#19,1#9-3,"CIMITERO FLAMINIO","18367151",0,"",65345,0,0
C2,1#19,1#9-4,"TERMINI (MA-MB-FS)","18367147",1,"",65346,0,0
C2,1#19,1#9-5,"CIMITERO FLAMINIO","18367150",0,"",65345,0,0
C2,1#19,1#9-6,"TERMINI (MA-MB-FS)","18367146",1,"",65346,0,0
C2,1#19,1#9-7,"CIMITERO FLAMINIO","18367149",0,"",65345,0,0
C2,1#19,1#9-8,"TERMINI (MA-MB-FS)","18367145",1,"",65346,0,0
C2,1#19,1#9-9,"CIMITERO FLAMINIO","18367148",0,"",65345,0,0
